,dim1,dim2,dim3,dim4,nn,min_dist
129634,5.6397294998168945,12.073092460632324,6.448773384094238,1.5444766283035278,770352,0.8129383325576782
136833,1.8925668001174927,17.259122848510742,8.317279815673828,3.9610679149627686,144832,0.33507823944091797
206222,4.8823676109313965,4.574407577514648,-1.034122347831726,-1.3676838874816895,586460,0.7889293432235718
138837,0.534400463104248,15.400150299072266,0.98204106092453,0.4715106785297394,779370,0.4482523798942566
987983,-1.8395618200302124,10.499065399169922,0.8097278475761414,3.8304567337036133,151526,0.7200486660003662
562345,2.687701463699341,18.22213363647461,7.706027030944824,2.3932042121887207,198653,0.4882905185222626
182032,0.12895260751247406,-0.05921843275427818,0.4488094747066498,4.224849224090576,199958,0.8467848300933838
275645,5.963221549987793,4.957520484924316,4.5570268630981445,3.339703321456909,131621,0.5829631090164185
151021,-1.8689203262329102,12.0199556350708,0.058218441903591156,3.162698745727539,148335,0.5277707576751709
177342,2.5490288734436035,13.41402530670166,0.7790204286575317,-0.16443030536174774,173233,0.3817404806613922
578057,5.506294250488281,11.916478157043457,4.622713565826416,0.2842593491077423,190132,0.4142954647541046
186444,-0.08686433732509613,17.814056396484375,7.470919609069824,5.435197353363037,919966,0.7834702730178833
206525,5.664151668548584,4.733532905578613,4.663370609283447,3.9312806129455566,275645,0.7077329158782959
131621,5.638324737548828,5.390627861022949,4.6162261962890625,3.547553062438965,275645,0.5829631090164185
887373,2.1811845302581787,15.64775276184082,8.484749794006348,4.790245056152344,164939,0.571570098400116
412528,4.109488010406494,12.752915382385254,7.8048577308654785,3.6198768615722656,154835,0.9908933043479919
869472,3.9907686710357666,13.082508087158203,3.0735814571380615,0.24885548651218414,123824,0.675141453742981
573249,-2.0825841426849365,12.330577850341797,0.23830778896808624,3.710979700088501,151021,0.6893348693847656
151930,-1.7352991104125977,10.380959510803223,1.3048733472824097,4.78101921081543,151526,0.5189234614372253
529953,4.3693366050720215,9.50617504119873,8.14583969116211,5.765931606292725,113821,1.0912797451019287
120515,4.827277660369873,12.260730743408203,3.9590513706207275,0.4114014208316803,395958,0.6033334136009216
770352,5.049034595489502,11.63918399810791,6.500990867614746,1.8922481536865234,129634,0.8129383325576782
667056,0.17000222206115723,17.608858108520508,6.644354820251465,4.455499172210693,615441,0.4878632128238678
966975,1.9578139781951904,14.533976554870605,2.1877222061157227,0.5208561420440674,144933,0.9149904251098633
127731,1.0000606775283813,18.406797409057617,7.1604695320129395,3.3104429244995117,107018,0.3827815651893616
123824,4.517706394195557,12.67149543762207,3.135317087173462,0.1753033548593521,869472,0.675141453742981
211316,4.539412021636963,10.77106761932373,8.375329971313477,5.114293098449707,792867,0.7472595572471619
