,key_0,1_x,2_x,cluster_lab,1_y,2_y,cluster_lab_half2,subjects
288,114217,22.957945,-7.6610703,2,-24.701424,15.894702,2,114217
289,175136,20.447454,19.087502,2,-3.4013748,17.643105,0,175136
290,782157,-32.9428,-15.648215,3,2.091448,-32.549316,3,782157
291,195445,-34.494682,-5.1699796,3,11.259794,-30.564682,3,195445
292,627852,35.032413,-5.4943576,2,-19.605337,28.24521,0,627852
293,103212,-4.37119,25.121574,0,12.588326,12.0381565,1,103212
294,159239,-5.1504297,-39.050472,1,-24.90727,-30.26741,3,159239
295,148335,-1.6374419,41.806152,0,13.785063,41.224163,0,148335
296,257542,14.147014,35.238758,0,14.706369,31.796333,0,257542
297,578057,16.194897,-11.854573,2,-15.006017,4.1169295,2,578057
298,463040,6.2781925,23.589502,2,8.254696,7.731221,1,463040
299,115219,-1.7499554,46.736942,0,37.09272,-4.3612103,1,115219
300,694362,-0.49706408,-34.779358,1,-32.47775,-18.611856,2,694362
301,523032,-3.6048172,-11.058545,3,6.8778,-11.362661,1,523032
302,106521,-21.516916,28.5808,0,18.455812,11.897073,1,106521
303,204016,27.492207,-2.2974489,2,-18.626371,24.042915,0,204016
304,362034,22.427591,-23.970985,1,-26.806942,-3.3056636,2,362034
305,131722,-13.077638,39.525715,0,24.816027,29.23205,0,131722
306,922854,17.55073,15.003577,2,-4.1710505,10.700438,0,922854
307,162733,-29.643456,-2.5466993,3,14.250521,-11.87675,1,162733
308,129432,8.806875,37.426033,0,26.414963,-24.290022,1,129432
309,889579,17.238104,-41.20712,1,-33.291756,-15.541486,2,889579
310,105216,-1.8738425,-9.960344,3,-10.911842,-3.2475853,2,105216
311,586460,7.9305754,25.909071,2,31.581778,-6.597861,1,586460
312,106016,-3.1079946,18.378471,2,18.285988,22.908882,0,106016
313,116524,-9.196889,-12.092219,3,8.317607,-15.043341,1,116524
314,557857,-9.581652,23.111542,0,14.359798,25.973083,0,557857
315,171633,-3.3690195,-49.63911,1,-26.427044,-29.371855,2,171633
316,137936,-13.29617,-1.8328094,3,12.776283,-8.495995,1,137936
317,421226,16.785013,40.849445,0,-2.4684834,37.27032,0,421226
318,366042,28.511257,-1.2107384,2,-13.926063,23.852201,0,366042
